"plot_num","elevation","leaf_area","herbivory","survival"
1,"high",223.934089916375,1,0
2,"high",241.144450919583,1,0
3,"high",238.88262845883,2,0
4,"high",232.027777587591,2,0
5,"high",247.575002480432,0,1
6,"high",223.035004104157,0,0
7,"high",241.968502165339,1,0
8,"high",201.420956110968,0,0
9,"high",224.185853104878,1,0
10,"high",218.173524053667,2,0
11,"high",213.853010802861,0,1
12,"high",227.987082776962,2,0
13,"high",218.41152767404,0,1
14,"high",217.14361606051,1,0
15,"high",219.536218723027,0,1
16,"high",233.85187542991,1,0
17,"high",248.406259099682,1,0
18,"high",221.204519185791,0,0
19,"high",227.476542707229,1,0
20,"high",227.542965373434,0,0
21,"high",235.357780567689,1,1
22,"high",223.697139125559,1,0
23,"high",230.055459136705,0,1
24,"high",218.919326877135,0,0
25,"high",217.349305901894,0,0
26,"high",220.51209801438,1,0
27,"high",230.466594374978,1,0
28,"high",227.001244657906,0,0
29,"high",215.630715544925,0,0
30,"high",223.913121438268,2,0
31,"high",215.695092122896,0,1
32,"high",200.161719837349,0,0
33,"high",231.854378957698,1,0
34,"high",231.027334478126,0,0
35,"high",228.5111675011,1,0
36,"high",216.350709967537,0,0
37,"high",226.161009076583,1,0
38,"high",211.719089577317,1,0
39,"high",218.544755874211,0,0
40,"high",220.701808086268,0,0
41,"high",224.456933091676,1,0
42,"high",230.938157420266,0,1
43,"high",219.770178235824,2,0
44,"high",219.607616470932,1,0
45,"high",213.112988878106,0,0
46,"high",208.975531367191,0,0
47,"high",231.62212948954,1,0
48,"high",245.447378618894,0,0
49,"high",235.177136546771,0,0
50,"high",214.33859081626,0,0
51,"high",225.434105615341,2,0
52,"high",237.179182130179,1,0
53,"high",227.854905681604,0,1
54,"high",219.054384956553,1,0
55,"high",228.575256154543,1,0
56,"high",230.885159650793,0,1
57,"high",220.51879016271,0,1
58,"high",225.089583799324,0,1
59,"high",219.658443476514,0,1
60,"high",223.477452652767,0,1
61,"high",239.618683244541,2,0
62,"high",229.788645195895,1,1
63,"high",218.129091475841,1,0
64,"high",237.758540397335,0,0
65,"high",231.319797211718,0,1
66,"high",223.657147469884,1,0
67,"high",236.656856132048,2,0
68,"high",213.67132305413,1,0
69,"high",227.480980082709,2,0
70,"high",199.194786298189,1,0
71,"high",226.996538502415,0,0
72,"high",212.513695645695,1,0
73,"high",220.406344876642,1,0
74,"high",219.252031429618,1,0
75,"high",213.939734857448,0,0
76,"high",222.262618160683,0,1
77,"high",245.044512744225,0,0
78,"high",221.457618080249,0,0
79,"high",223.909824834522,2,0
80,"high",200.253435680185,0,1
81,"high",228.627762065636,1,0
82,"high",230.377896036346,0,0
83,"high",229.806184522794,2,0
84,"high",209.795167926071,1,0
85,"high",232.265984525809,0,0
86,"high",230.54037800062,0,1
87,"high",236.061692664806,0,0
88,"high",222.276802391513,1,0
89,"high",230.498209800392,0,0
90,"high",219.858161978455,0,1
91,"high",236.245476310485,1,0
92,"high",219.19190987319,1,0
93,"high",224.148198628073,1,0
94,"high",223.023634127248,1,0
95,"high",215.84985532567,2,1
96,"high",230.066382939887,1,0
97,"high",219.64782377406,2,0
98,"high",220.021197075503,0,1
99,"high",221.62184636841,1,0
100,"high",250.084181142178,2,0
101,"low",222.387461403133,2,0
102,"low",246.290117986357,1,1
103,"low",226.990927599467,2,0
104,"low",210.186718847197,1,0
105,"low",235.149537931009,1,0
106,"low",235.71252201417,0,1
107,"low",235.426368086455,1,0
108,"low",225.977819956595,1,1
109,"low",248.221767861333,2,0
110,"low",235.083936754124,0,1
111,"low",233.812802103255,1,1
112,"low",241.997213747316,2,0
113,"low",246.557205079519,2,0
114,"low",226.452289181605,2,0
115,"low",223.905309115614,1,0
116,"low",225.2226760073,2,0
117,"low",223.154046158546,2,0
118,"low",215.20804467675,1,0
119,"low",218.126282458559,0,0
120,"low",230.656317605526,2,0
121,"low",233.320986352897,1,0
122,"low",214.48608865962,1,1
123,"low",235.868318205638,2,0
124,"low",259.207012947188,2,0
125,"low",233.605490582732,1,1
126,"low",244.477052468109,2,0
127,"low",233.46845830194,2,0
128,"low",221.507379309386,2,1
129,"low",229.761480974092,2,0
130,"low",234.207865237059,2,1
131,"low",229.863062373271,2,0
132,"low",229.724077576534,2,0
133,"low",229.801618017767,1,1
134,"low",234.584923654635,2,1
135,"low",233.451488613858,2,0
136,"low",225.350161341697,2,0
137,"low",224.484260581858,1,1
138,"low",243.090879521798,1,1
139,"low",234.339896219534,2,0
140,"low",222.721090250487,2,0
141,"low",246.955035413859,2,0
142,"low",216.848685473539,1,1
143,"low",246.305137392648,1,0
144,"low",228.334453557781,0,1
145,"low",229.04577989133,1,1
146,"low",234.926233074492,2,1
147,"low",245.059383306698,2,0
148,"low",239.150382689813,1,1
149,"low",229.403276358109,2,0
150,"low",233.278742428049,2,1
151,"low",214.212358403563,2,0
152,"low",230.062998584949,2,0
153,"low",243.042226321845,1,0
154,"low",234.089913340312,0,1
155,"low",239.742279614411,0,1
156,"low",225.401034337057,2,1
157,"low",231.980582436217,2,0
158,"low",230.67183256278,1,1
159,"low",242.454364622392,0,0
160,"low",238.901318355085,0,1
161,"low",218.547270743015,1,1
162,"low",220.003285346897,2,1
163,"low",239.543144148559,2,0
164,"low",226.338929970271,2,0
165,"low",215.366478325851,0,1
166,"low",225.249184980122,2,0
167,"low",229.268070490706,2,1
168,"low",234.361145658701,1,1
169,"low",235.455039685805,2,0
170,"low",230.294340299242,2,1
171,"low",225.015675120144,2,0
172,"low",226.795657538048,2,0
173,"low",239.066194867037,2,1
174,"low",241.674400429264,1,0
175,"low",225.660055997892,2,1
176,"low",231.448613223285,2,0
177,"low",238.259063217633,1,0
178,"low",241.1180166053,2,0
179,"low",252.602701899535,2,1
180,"low",236.715561286944,0,1
181,"low",206.573119353123,2,0
182,"low",222.472896384293,1,0
183,"low",240.267975208142,2,0
184,"low",216.108157322589,1,0
185,"low",218.805786731564,1,1
186,"low",217.756946031897,2,1
187,"low",222.51128647994,2,0
188,"low",239.540884455379,2,0
189,"low",239.734884865536,1,1
190,"low",231.016356107798,2,0
191,"low",250.740682378043,2,0
192,"low",225.460015895391,2,0
193,"low",211.848667627342,2,1
194,"low",239.944410456043,1,0
195,"low",226.862683333961,1,0
196,"low",239.938245947454,2,1
197,"low",223.26466147058,0,1
198,"low",219.668176535897,2,0
199,"low",222.46711866854,0,1
200,"low",232.486077074726,0,0
